"GEO_ID","NAME","B07009_001E","B07009_001M","B07009_002E","B07009_002M","B07009_003E","B07009_003M","B07009_004E","B07009_004M","B07009_005E","B07009_005M","B07009_006E","B07009_006M","B07009_007E","B07009_007M","B07009_008E","B07009_008M","B07009_009E","B07009_009M","B07009_010E","B07009_010M","B07009_011E","B07009_011M","B07009_012E","B07009_012M","B07009_013E","B07009_013M","B07009_014E","B07009_014M","B07009_015E","B07009_015M","B07009_016E","B07009_016M","B07009_017E","B07009_017M","B07009_018E","B07009_018M","B07009_019E","B07009_019M","B07009_020E","B07009_020M","B07009_021E","B07009_021M","B07009_022E","B07009_022M","B07009_023E","B07009_023M","B07009_024E","B07009_024M","B07009_025E","B07009_025M","B07009_026E","B07009_026M","B07009_027E","B07009_027M","B07009_028E","B07009_028M","B07009_029E","B07009_029M","B07009_030E","B07009_030M","B07009_031E","B07009_031M","B07009_032E","B07009_032M","B07009_033E","B07009_033M","B07009_034E","B07009_034M","B07009_035E","B07009_035M","B07009_036E","B07009_036M"
"0500000US36083","Rensselaer County, New York","111047","534","9095","1544","31730","2481","34954","2493","20143","2091","15125","1847","95181","2792","6972","1310","27370","2310","29755","2369","17717","2043","13367","1788","7921","1678","1801","805","2393","835","2142","720","943","482","642","398","5764","1518","184","196","1577","682","2289","1056","1000","636","714","402","1988","896","73","104","390","298","768","575","483","348","274","243","193","261","65","104","0","200","0","200","0","200","128","239"
"0500000US36085","Richmond County, New York","334079","96","39031","3565","100730","5119","83679","4230","66108","3998","44531","3486","309851","3324","36538","3515","94492","5121","77325","4253","60495","4470","41001","3486","14549","2672","1225","691","3913","1183","3737","1173","3962","1570","1712","697","7105","2000","1008","486","1938","920","1690","797","1154","634","1315","723","1518","668","97","100","243","235","765","478","256","271","157","177","1056","518","163","200","144","183","162","174","241","193","346","258"
"0500000US36087","Rockland County, New York","205985","700","22972","2777","46985","3491","51510","3328","46786","2813","37732","2750","189635","2624","20517","2632","43099","3269","47925","3239","42924","2787","35170","2615","9447","2062","1989","952","3162","1303","2273","738","1208","529","815","464","3328","1076","204","215","394","340","584","353","1317","633","829","519","2806","1021","154","158","330","245","531","359","1036","645","755","512","769","375","108","142","0","200","197","168","301","210","163","159"
"0500000US36089","St. Lawrence County, New York","72555","546","9164","1461","25858","2231","20091","1966","8279","1350","9163","1308","65170","1149","6935","1294","23896","2263","18505","1926","7585","1283","8249","1270","3849","921","650","300","1367","589","1166","549","225","164","441","227","2556","529","1475","330","480","324","312","172","236","164","53","67","782","466","104","129","97","101","108","136","178","181","295","279","198","184","0","200","18","32","0","200","55","83","125","157"
"0500000US36091","Saratoga County, New York","164414","690","10656","1497","39033","2896","45561","2880","37886","3053","31278","2813","143874","2630","9182","1394","34550","2824","38513","2440","34161","2886","27468","2765","8657","1949","327","332","2052","921","2977","1049","2145","792","1156","605","6666","1510","572","337","1626","661","1707","643","1086","489","1675","795","4358","1520","575","495","805","449","1953","996","389","325","636","362","859","1002","0","200","0","200","411","576","105","173","343","501"
"0500000US36093","Schenectady County, New York","107453","2175","10085","1821","32144","2663","35263","3149","17210","2028","12751","1708","99986","2740","9211","1785","29969","2594","33014","3137","15998","1978","11794","1630","4548","1104","501","304","1195","503","1769","729","645","317","438","355","1732","688","149","142","266","202","328","327","567","375","422","350","769","593","115","143","405","496","152","205","0","200","97","132","418","510","109","131","309","504","0","200","0","200","0","200"
"0500000US36101","Steuben County, New York","68011","307","6510","907","25920","1571","20685","1304","7451","952","7445","1096","62887","1082","5892","857","24248","1628","19274","1265","6728","974","6745","1041","2706","725","385","273","1116","454","699","243","309","173","197","150","1359","553","124","131","314","223","371","274","284","252","266","173","1003","484","109","151","242","197","341","244","74","74","237","212","56","94","0","200","0","200","0","200","56","94","0","200"
"0500000US36103","Suffolk County, New York","1036946","307","102621","5927","277080","7842","279213","7672","208064","6783","169968","6597","969118","5468","94875","5971","258485","7605","264153","7492","193427","6715","158178","6533","42511","4437","4675","1499","13218","2231","10667","1782","7683","1282","6268","1418","15135","2403","1595","705","3043","919","3010","930","4565","1136","2922","1005","8231","1709","1182","841","1704","899","1052","503","1920","651","2373","758","1951","592","294","311","630","375","331","301","469","317","227","200"
"0500000US36105","Sullivan County, New York","53310","1152","6297","1391","17279","1996","14339","2310","9250","1623","6145","1622","47172","2163","5950","1390","15311","1969","12504","2315","8310","1644","5097","1461","3053","1318","195","204","748","501","940","742","323","293","847","549","1930","963","139","183","952","678","505","370","305","301","29","55","1007","557","13","25","268","257","242","224","312","330","172","225","148","234","0","200","0","200","148","234","0","200","0","200"
"0500000US36109","Tompkins County, New York","61921","1068","4360","1532","11114","1630","14147","1665","13684","1868","18616","2136","53325","1955","4121","1548","10255","1572","13007","1594","11215","1635","14727","2059","4560","1268","77","133","859","496","523","356","1673","778","1428","674","1147","683","114","178","0","200","368","360","102","165","563","432","1959","745","48","93","0","200","249","228","490","402","1172","606","930","581","0","200","0","200","0","200","204","298","726","489"
"0500000US36111","Ulster County, New York","130912","935","10480","1996","38714","2975","38967","2938","23437","2593","19314","2305","118665","2416","8820","1567","33877","3062","36119","2931","21724","2618","18125","2232","6835","1956","974","907","3024","1118","1467","491","734","356","636","420","4581","1158","564","370","1633","674","1123","515","814","484","447","259","592","434","122","126","176","184","129","167","59","72","106","139","239","346","0","200","4","8","129","228","106","180","0","200"
"0500000US36113","Warren County, New York","48385","283","4237","982","14637","1711","14419","1634","7266","1180","7826","1106","41144","1786","3199","787","11698","1636","12619","1588","6650","1155","6978","1110","3701","1443","573","654","1338","589","977","451","166","172","647","540","2808","1032","310","229","1601","906","485","279","211","177","201","172","732","469","155","158","0","200","338","286","239","203","0","200","0","200","0","200","0","200","0","200","0","200","0","200"
"0500000US36117","Wayne County, New York","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US36119","Westchester County, New York","675568","359","84434","4847","135348","6253","132352","6171","159248","5944","164186","4843","611635","5412","75502","4669","123955","6377","120727","5914","142438","5514","149013","4715","34326","3806","5400","1567","7069","2003","6560","1659","8335","1867","6962","1491","16718","3076","2205","1073","2638","930","3409","1098","4044","929","4422","1247","7255","1960","825","777","996","561","977","632","2392","935","2065","848","5634","1336","502","468","690","467","679","454","2039","833","1724","864"
"0500000US37001","Alamance County, North Carolina","109959","459","17276","1908","32283","2628","34713","2135","17072","1670","8615","1419","97035","2483","14945","1720","28894","2492","30748","2172","15340","1598","7108","1428","7281","2092","1691","888","1850","929","2653","1091","400","361","687","533","3485","1507","224","334","1168","1104","946","638","609","419","538","423","1131","649","80","101","302","390","281","254","186","168","282","309","1027","834","336","372","69","116","85","99","537","528","0","207"
"0500000US37019","Brunswick County, North Carolina","102846","627","8747","1430","30325","2562","32603","2444","19442","2005","11729","1570","86227","2233","7167","1264","25773","2426","26171","2320","16963","1665","10153","1444","6884","1803","607","329","2187","879","3102","1155","740","697","248","231","5010","1539","804","572","1301","663","1594","924","800","427","511","324","4725","1410","169","207","1064","515","1736","836","939","474","817","481","0","207","0","207","0","207","0","207","0","207","0","207"
"0500000US37021","Buncombe County, North Carolina","189252","884","16170","2374","43869","3199","49407","3544","50698","4245","29108","2434","164793","3053","14932","2233","39308","3182","43118","3669","41930","3725","25505","2345","14827","2600","841","436","2849","950","3563","1373","5306","1346","2268","884","4068","1384","397","369","659","389","1370","704","1185","650","457","406","5211","1776","0","207","842","870","1299","630","2240","1102","830","427","353","331","0","207","211","222","57","100","37","59","48","80"
"0500000US37023","Burke County, North Carolina","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US37025","Cabarrus County, North Carolina","137026","1041","15787","2515","34209","2571","43470","3058","27987","2614","15573","2087","117300","3250","14053","2577","30213","2541","34575","2739","25123","2338","13336","2050","12420","3321","1357","881","2201","800","5712","2256","1917","1062","1233","696","3816","1243","135","186","601","394","1880","970","540","395","660","465","3262","1159","106","114","1194","632","1303","767","315","266","344","318","228","287","136","233","0","207","0","207","92","162","0","207"
"0500000US37027","Caldwell County, North Carolina","58662","781","12526","2123","20064","2204","16914","1965","5050","945","4108","1059","51613","1960","11435","2239","17205","1900","15281","1838","4323","798","3369","927","3411","1716","875","554","1553","1322","835","606","148","177","0","207","2827","1082","216","176","1063","662","614","391","370","353","564","499","811","545","0","207","243","270","184","284","209","348","175","171","0","207","0","207","0","207","0","207","0","207","0","207"
"0500000US37031","Carteret County, North Carolina","51901","550","4143","1092","13013","1318","21370","1651","8097","1044","5278","817","45480","1347","3878","1075","11802","1241","18369","1484","6906","893","4525","727","2800","834","146","158","676","376","1370","716","484","329","124","127","1655","748","34","51","243","229","670","490","274","163","434","329","1918","753","85","121","276","230","929","498","433","265","195","130","48","59","0","207","16","28","32","54","0","207","0","207"
