"GEO_ID","NAME","B07009_008M","B07009_009E","B07009_009M","B07009_010E","B07009_010M","B07009_011E","B07009_011M","B07009_012E","B07009_012M","B07009_013E","B07009_013M","B07009_014E","B07009_014M","B07009_015E","B07009_015M","B07009_016E","B07009_016M","B07009_017E","B07009_017M","B07009_018E","B07009_018M","B07009_019E","B07009_019M","B07009_020E","B07009_020M","B07009_021E","B07009_021M","B07009_022E","B07009_022M","B07009_023E","B07009_023M","B07009_024E","B07009_024M","B07009_025E","B07009_025M","B07009_026E","B07009_026M","B07009_027E","B07009_027M","B07009_028E","B07009_028M","B07009_029E","B07009_029M","B07009_030E","B07009_030M","B07009_031E","B07009_031M","B07009_032E","B07009_032M","B07009_033E","B07009_033M","B07009_034E","B07009_034M","B07009_035E","B07009_035M","B07009_036E","B07009_036M","B07009_001E","B07009_001M","B07009_002E","B07009_002M","B07009_003E","B07009_003M","B07009_004E","B07009_004M","B07009_005E","B07009_005M","B07009_006E","B07009_006M","B07009_007E","B07009_007M","B07009_008E"
"0500000US16027","Canyon County, Idaho","2876","35109","3819","39871","3130","14566","2446","6855","1577","10148","2921","989","641","3319","1467","4443","1607","876","537","521","391","5119","1545","292","242","2333","992","1383","597","966","688","145","187","6996","1783","471","414","1251","606","4173","1712","690","829","411","449","390","493","133","213","0","204","0","204","257","435","0","204","139650","1112","22481","2915","42012","4008","49870","3806","17355","2830","7932","1698","116997","3672","20596"
"0500000US18019","Clark County, Indiana","1438","24787","2296","26035","2384","10902","1759","6160","1474","3963","1200","444","312","1864","795","1167","536","329","309","159","167","1155","464","57","94","352","248","384","328","246","230","116","154","1461","798","230","293","136","144","551","506","237","189","307","258","53","94","0","198","0","198","53","94","0","198","0","198","82301","800","8516","1512","27139","2465","28190","2485","11714","1847","6742","1471","75669","1527","7785"
"0500000US23031","York County, Maine","1647","41609","2625","43154","3249","28773","2677","13221","1896","10146","2181","871","533","4096","1479","3248","1026","1253","558","678","367","2536","1199","152","182","955","697","642","534","787","568","0","170","5850","1682","277","259","1238","658","1876","814","1546","806","913","423","291","328","0","170","165","274","0","170","126","176","0","170","152863","769","8583","1808","48063","3033","48920","3278","32485","2841","14812","1898","134040","2700","7283"
"0500000US24027","Howard County, Maryland","1409","28664","3984","34505","2761","60734","3545","59441","3771","9390","2316","238","247","1111","640","2862","947","3272","1070","1907","807","11132","2453","950","722","1563","718","2233","919","3521","1207","2865","1015","6485","1979","186","229","436","413","1843","830","1610","802","2410","1140","1523","665","227","186","324","291","354","307","355","256","263","296","218940","921","8667","1660","32098","4088","41797","3102","69492","3081","66886","4055","190410","4148","7066"
"0500000US27053","Hennepin County, Minnesota","3511","124318","5237","205369","6266","238151","5959","140591","6483","73412","5266","5023","1362","12402","2050","15271","2198","26655","2969","14061","2103","22575","2972","1273","626","3701","1062","6722","1263","8458","1609","2421","765","18306","2191","395","239","2582","880","3047","951","7054","1277","5228","1101","6266","1480","848","514","337","244","1223","669","2216","805","1642","639","875734","467","54285","3682","143340","5776","231632","6613","282534","6025","163943","6654","755175","6068","46746"
"0500000US28067","Jones County, Mississippi","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US34021","Mercer County, New Jersey","3744","54253","3914","43258","3384","49150","3564","44036","3082","17274","4337","4254","2181","5301","2255","3427","1526","2041","791","2251","1066","8497","2165","870","550","2426","1197","623","411","2642","1040","1936","900","4370","1303","154","188","1237","736","612","405","885","387","1482","881","1133","608","214","216","71","113","84","156","116","124","648","447","249036","1575","32557","3649","63288","4735","48004","3675","54834","3482","50353","3412","217762","5097","27065"
"0500000US36117","Wayne County, New York","1095","19529","1810","18870","1813","8235","1259","6516","1260","2382","771","396","291","906","532","795","485","248","233","37","63","2299","942","126","143","820","605","789","496","503","279","61","73","541","349","0","201","78","97","248","224","178","185","37","61","329","313","266","297","0","201","63","100","0","201","0","201","64140","552","6227","1134","21333","2087","20765","1800","9164","1305","6651","1266","58589","1285","5439"
"0500000US37129","New Hanover County, North Carolina","1637","27112","3184","42970","3239","38896","3106","17150","1996","13434","2919","1113","782","2473","1162","4512","1412","4162","1729","1174","604","5270","1414","443","353","1387","636","2012","700","938","444","490","304","5895","1499","385","328","823","507","1795","749","1361","481","1531","817","1158","745","60","96","477","410","168","219","302","518","151","143","159572","1372","9688","1974","32272","3368","51457","3526","45659","3313","20496","2146","133815","3248","7687"
"0500000US42085","Mercer County, Pennsylvania","1602","30241","1822","18360","1920","9173","1127","5097","871","5572","1136","534","275","2812","872","1299","522","725","413","202","133","1214","397","242","178","421","184","272","185","121","100","158","189","1251","614","93","94","297","173","391","315","383","372","87","97","177","201","0","177","0","177","105","172","16","29","56","96","78655","557","8439","1628","33771","2306","20427","2063","10418","1204","5600","950","70441","1288","7570"
"0500000US42111","Somerset County, Pennsylvania","873","25303","1508","12729","1181","5541","1027","2806","610","2231","718","189","132","1780","627","200","117","62","60","0","177","1025","334","188","161","630","252","106","100","19","24","82","89","864","387","65","105","307","188","243","174","114","123","135","137","6","10","0","177","6","10","0","177","0","177","0","177","55804","420","5741","914","28026","1644","13278","1231","5736","1010","3023","631","51678","907","5299"
"0500000US04027","Yuma County, Arizona","2515","30544","2982","35097","2982","13044","2142","5746","1365","11653","2845","2722","1414","3497","1279","4347","1292","963","499","124","144","1615","719","182","158","414","275","733","389","123","124","163","239","5894","1440","627","349","1859","688","2230","806","630","386","548","387","2440","885","408","290","324","249","326","238","794","550","588","586","135113","384","33019","2803","36638","2960","42733","2911","15554","2193","7169","1412","113511","3671","29080"
"0500000US05119","Pulaski County, Arkansas","3175","64210","4863","69166","4529","44962","3619","34118","3147","16652","2865","1831","632","3644","1153","6016","1568","3234","990","1927","662","6431","1832","557","356","1900","973","1597","701","805","444","1572","1067","6688","2044","482","365","909","530","1969","977","2399","1293","929","489","976","541","136","139","368","378","162","203","144","169","166","223","267828","1209","27631","3353","71031","4671","78910","4628","51544","3816","38712","3154","237081","3917","24625"
"0500000US09005","Litchfield County, Connecticut","1855","39366","2759","35479","2440","24154","2397","17918","1994","5616","1162","710","323","2036","638","1750","730","715","362","405","272","2534","1079","68","118","608","526","998","804","563","281","297","251","990","478","0","207","258","206","477","353","140","152","115","137","398","320","0","207","44","72","79","92","107","102","168","267","134482","531","8805","1895","42312","2803","38783","2719","25679","2441","18903","2056","124944","1641","8027"
"0500000US13047","Catoosa County, Georgia","1157","15287","2324","12835","2192","5011","1166","3088","1011","2273","975","245","273","919","693","592","462","191","181","326","325","1147","640","48","83","24","44","504","544","424","400","147","189","2265","942","178","220","1098","665","452","342","418","312","119","202","0","226","0","226","0","226","0","226","0","226","0","226","46768","1262","5333","1279","17328","2486","14383","2246","6044","1228","3680","1092","41083","1750","4862"
"0500000US13297","Walton County, Georgia","1459","20825","2060","17692","2149","6522","1052","5193","1154","1982","884","225","253","846","481","654","481","225","181","32","64","2679","925","208","191","795","529","1041","514","382","325","253","228","77","96","0","226","22","40","26","41","29","53","0","226","0","226","0","226","0","226","0","226","0","226","0","226","62003","819","7466","1517","22488","2004","19413","2088","7158","1138","5478","1169","57265","1646","7033"
