id,FIPS,Total households!!Median household income (dollars),Margin of Error!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!Median household income (dollars),Total households!!Mean household income (dollars),Margin of Error!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!Mean household income (dollars)
0500000US,20131,58644,4415,74258,4581
0500000US,20133,44294,2996,56884,4259
0500000US,20135,51033,5672,70248,8478
0500000US,20137,49891,4999,67861,14647
0500000US,20139,55036,2577,64666,3345
0500000US,20141,48355,6994,61565,5400
0500000US,20143,51971,5974,67208,5112
0500000US,20145,42853,5011,57460,5129
0500000US,20147,48272,1690,61283,4616
0500000US,20149,64657,4688,75739,3919
0500000US,20151,54029,3674,68513,5148
0500000US,20153,48125,6393,61632,4402
0500000US,20155,49174,1352,64137,2075
0500000US,20157,48022,3895,60774,4627
0500000US,20159,50764,5615,59946,2918
0500000US,20161,49910,2479,69145,2683
0500000US,20163,50511,2741,59370,3326
0500000US,20165,40598,5471,55375,4204
0500000US,20167,52806,3252,61007,4672
0500000US,20169,50515,1520,66194,2501
0500000US,20171,71394,11173,76674,6323
0500000US,20173,54974,758,72975,976
0500000US,20175,47025,3239,60596,3774
0500000US,20177,55199,1505,72341,1594
0500000US,20179,56071,9269,71597,5618
0500000US,20181,52847,5234,55242,4601
0500000US,20183,43438,4159,61994,4643
0500000US,20185,48563,2935,63586,4459
0500000US,20187,46726,5581,56453,7136
0500000US,20189,56507,7837,67852,7784
0500000US,20191,54915,3412,64704,2704
0500000US,20193,57478,4452,68365,5837
0500000US,20195,56810,6910,67980,6337
0500000US,20197,60450,3941,69728,4071
0500000US,20199,58875,13604,71416,8484
0500000US,20201,48889,3196,63932,5255
0500000US,20203,57566,10866,71505,8008
0500000US,20205,46208,3337,62833,4944
0500000US,20207,34621,4407,45953,3338
0500000US,20209,44873,939,55958,1038
0500000US,21001,39346,3589,52038,5101
0500000US,21003,40893,2985,54747,4592
0500000US,21005,54160,3933,66456,3765
0500000US,21007,44350,3284,63324,4794
0500000US,21009,40216,1507,51371,2320
0500000US,21011,40837,3808,54937,5502
0500000US,21013,24628,2786,36718,3380
0500000US,21015,75043,2354,93086,2732
0500000US,21017,51462,3221,67854,4240
