FIPS,Median Household income 2012,Median Household income 2016,Median Household income 2018,Median household income 2010,Household Median Income
17201,61311.0,49749.0,53345.0,43792.0,52743
18003,62638.0,51173.0,54260.0,47054.0,53402
18005,66358.0,59102.0,62047.0,47192.0,59045
18019,59047.0,51401.0,56307.0,44099.0,54240
18035,47844.0,41041.0,41662.0,35902.0,42705
18039,57735.0,54216.0,58350.0,41748.0,55399
18043,70576.0,58586.0,66391.0,47804.0,61754
18053,50461.0,37117.0,44839.0,34716.0,42593
18057,104580.0,89823.0,100209.0,80808.0,94644
18059,75186.0,67799.0,71653.0,58587.0,73142
18063,80063.0,78307.0,80582.0,65218.0,78355
18067,53316.0,45702.0,55868.0,36733.0,50869
18081,75349.0,65991.0,68209.0,58318.0,68712
18085,64290.0,53963.0,55253.0,47308.0,58402
18089,61266.0,53681.0,55154.0,45153.0,54249
18091,57508.0,53507.0,51584.0,43765.0,51101
18095,52297.0,45495.0,49615.0,38772.0,47436
18097,56605.0,44874.0,47780.0,38959.0,46692
18105,56397.0,43582.0,47369.0,36392.0,47075
18109,62667.0,60530.0,68338.0,52965.0,62462
18127,72379.0,66196.0,66476.0,55186.0,68044
18141,59218.0,48358.0,54434.0,42089.0,50938
18157,58083.0,51361.0,50256.0,37983.0,51844
18163,57064.0,46064.0,50325.0,40290.0,46943
18167,56668.0,43910.0,48961.0,39429.0,43859
18177,46434.0,43401.0,44928.0,36079.0,44228
19013,58848.0,50470.0,51920.0,43341.0,52688
19049,90961.0,75899.0,83990.0,63915.0,84790
19061,63391.0,60456.0,60225.0,49776.0,61321
19103,69760.0,58064.0,63035.0,49226.0,61640
19113,72714.0,64639.0,64103.0,54539.0,64862
19153,73101.0,64067.0,68291.0,53866.0,66044
19155,63155.0,55972.0,55376.0,47864.0,57467
19163,71363.0,54730.0,58175.0,47206.0,58803
19169,60560.0,53371.0,54586.0,48034.0,54554
19193,53452.0,52324.0,61516.0,42208.0,55483
20015,73096.0,60182.0,64898.0,53503.0,63272
20045,65658.0,56345.0,54668.0,47263.0,55832
20091,96437.0,80553.0,86746.0,71008.0,84915
20103,72638.0,68299.0,71071.0,61310.0,71184
20161,54401.0,50737.0,44697.0,45246.0,49910
20173,63316.0,52193.0,55882.0,45726.0,54974
20177,61685.0,55710.0,52104.0,44431.0,55199
20209,47457.0,43129.0,47285.0,37293.0,44873
21015,77650.0,72374.0,77429.0,64008.0,75043
21029,65425.0,65359.0,58119.0,50702.0,60534
21037,69904.0,62536.0,59524.0,44829.0,59782
21047,47321.0,41140.0,38448.0,36153.0,41235
21059,54659.0,51764.0,50934.0,41277.0,49836
21067,67961.0,53178.0,54896.0,44895.0,54918
21093,61135.0,52148.0,50981.0,43421.0,53168
21111,63536.0,51991.0,55851.0,42305.0,54357
21117,65583.0,62182.0,64441.0,50872.0,61606
21145,57785.0,39048.0,47764.0,42035.0,44486
21151,51179.0,43840.0,52047.0,42013.0,48687
