FIPS,Median Household income 2012,Median Household income 2016,Median Household income 2018
01103,56247.0,44378.0,53260.0
01115,60915.0,60158.0,56602.0
01117,83281.0,73647.0,71230.0
01121,44773.0,39393.0,40315.0
01125,57486.0,47787.0,54459.0
01127,50766.0,39068.0,47602.0
02020,92256.0,85634.0,83648.0
02090,83536.0,77328.0,75448.0
02170,82680.0,69332.0,72667.0
04001,41903.0,34685.0,30207.0
04003,57372.0,45508.0,50495.0
04005,62663.0,55091.0,61843.0
04013,70241.0,58737.0,65252.0
04015,47610.0,42423.0,46060.0
04017,44761.0,36998.0,40463.0
04019,61731.0,47560.0,53464.0
04021,58536.0,52555.0,59058.0
04025,56210.0,50420.0,48148.0
04027,49642.0,43518.0,43403.0
05007,70524.0,63631.0,67164.0
05031,59819.0,43678.0,44810.0
05045,61040.0,48506.0,51437.0
05051,58290.0,42826.0,42779.0
05069,47969.0,37712.0,35652.0
05085,61692.0,55837.0,53782.0
05119,62362.0,47387.0,49613.0
05125,67183.0,64932.0,63084.0
05131,52529.0,42053.0,46826.0
05143,57984.0,45679.0,50342.0
05145,52930.0,42844.0,42270.0
06001,95429.0,89979.0,102125.0
06007,57473.0,45177.0,51652.0
06013,102019.0,91045.0,101618.0
06017,89326.0,75772.0,82742.0
06019,59314.0,48715.0,52629.0
06023,53908.0,43130.0,50294.0
06025,51780.0,49095.0,48984.0
06029,63091.0,49903.0,51579.0
06031,63204.0,53234.0,61663.0
06033,45352.0,42029.0,48554.0
06037,77581.0,61338.0,68093.0
06039,56024.0,51657.0,56305.0
06041,137575.0,103845.0,126373.0
06045,52826.0,43809.0,51830.0
06047,57643.0,47739.0,57745.0
06053,76172.0,63876.0,70681.0
06055,91295.0,75077.0,87025.0
06057,75255.0,59022.0,66299.0
06059,98072.0,81837.0,89759.0
06061,88182.0,85426.0,88592.0
06065,69066.0,60134.0,66964.0
06067,69662.0,59780.0,69767.0
06071,64746.0,56337.0,63857.0
06073,81326.0,70824.0,79079.0
06075,107259.0,103801.0,112376.0
06077,67885.0,59518.0,64119.0
06079,78744.0,70564.0,71148.0
06081,119467.0,108627.0,124425.0
06083,83192.0,67436.0,77472.0
06085,119200.0,111069.0,126606.0
06087,91901.0,77613.0,86941.0
06089,59410.0,46724.0,56280.0
06095,78619.0,73900.0,84395.0
06097,81555.0,73929.0,81395.0
06099,62037.0,54305.0,60321.0
06101,66209.0,51397.0,59121.0
06107,55215.0,45881.0,48817.0
06111,94173.0,80135.0,84566.0
06113,74133.0,64904.0,68670.0
06115,55440.0,49259.0,46574.0
08001,66001.0,66033.0,70743.0
08005,82230.0,70950.0,76768.0
08013,92308.0,74615.0,83755.0
08031,74611.0,61105.0,68377.0
08035,116538.0,109292.0,119615.0
08041,72975.0,63882.0,68119.0
08059,85143.0,74186.0,85890.0
08069,74062.0,66469.0,71091.0
08077,62360.0,48846.0,49848.0
08101,52711.0,44677.0,48468.0
08123,70556.0,63400.0,75938.0
09001,131645.0,90123.0,91079.0
09003,84018.0,69433.0,73151.0
09005,84669.0,76993.0,76043.0
09007,95846.0,79739.0,89131.0
09009,78525.0,66176.0,67845.0
09011,84060.0,70699.0,67197.0
09013,90327.0,81252.0,91646.0
09015,68533.0,61608.0,65765.0
10001,65595.0,54140.0,54419.0
10003,81048.0,67274.0,69479.0
10005,64093.0,57734.0,60277.0
11001,102160.0,75506.0,85203.0
12001,61773.0,45304.0,51241.0
12005,57988.0,49157.0,52107.0
12009,62164.0,51184.0,57888.0
12011,69004.0,54212.0,57278.0
12015,55576.0,44200.0,52927.0
12017,51172.0,39206.0,39964.0
12019,68894.0,56315.0,61825.0
12021,88799.0,61228.0,69867.0
12023,49302.0,42019.0,48848.0
12031,60414.0,51980.0,55832.0
12033,56545.0,44788.0,51050.0
12035,58680.0,49395.0,58963.0
12053,46909.0,47253.0,45977.0
12055,45257.0,36490.0,39796.0
12057,67014.0,54588.0,58480.0
12061,70373.0,49072.0,57508.0
12069,56247.0,50226.0,52096.0
12071,64904.0,52909.0,56129.0
12073,62949.0,51107.0,50682.0
12081,67256.0,51748.0,59956.0
12083,50312.0,39383.0,44576.0
12085,74571.0,54620.0,59978.0
12086,63863.0,45935.0,52205.0
12087,85017.0,65717.0,71973.0
12089,76810.0,71515.0,63913.0
12091,65871.0,60026.0,63997.0
12095,63886.0,51335.0,58588.0
12097,53207.0,51436.0,50546.0
12099,78043.0,57580.0,61691.0
12101,56971.0,46264.0,54208.0
12103,63873.0,50036.0,52198.0
12105,53669.0,46355.0,51670.0
12107,45637.0,38239.0,41608.0
12109,91377.0,78581.0,80712.0
12111,58531.0,44804.0,54098.0
12113,75494.0,63619.0,70787.0
12115,69672.0,54989.0,61683.0
12117,72815.0,61311.0,67470.0
12119,59485.0,54562.0,53895.0
12127,54251.0,45366.0,50361.0
13013,59585.0,54256.0,61225.0
13015,55870.0,51405.0,57380.0
13021,52537.0,36724.0,40495.0
13031,50390.0,43982.0,44179.0
13045,56559.0,51228.0,51545.0
13047,52813.0,55717.0,56364.0
13051,60747.0,53964.0,55308.0
13057,83660.0,77950.0,82069.0
13059,50725.0,34999.0,42232.0
13063,47587.0,45252.0,46646.0
13067,83190.0,70947.0,78894.0
13073,84814.0,72737.0,82024.0
13077,71202.0,71220.0,69240.0
13089,71602.0,56109.0,64461.0
13095,49030.0,37222.0,39659.0
13097,62877.0,62445.0,60829.0
13113,100760.0,80626.0,93468.0
13115,49560.0,49865.0,38462.0
13117,103341.0,100909.0,104687.0
13121,89648.0,63510.0,70930.0
13127,65139.0,48926.0,55196.0
13135,74037.0,67155.0,72184.0
13139,63528.0,54917.0,61699.0
13151,65846.0,66905.0,73541.0
13153,66444.0,62493.0,58965.0
13179,51769.0,45138.0,
13185,52511.0,41449.0,34886.0
13215,60244.0,40060.0,47288.0
13217,60187.0,48628.0,57344.0
13223,66779.0,60856.0,73084.0
13245,50099.0,41419.0,39413.0
13247,61032.0,56820.0,61222.0
13285,57509.0,42371.0,44260.0
13295,50074.0,39209.0,42609.0
13297,62296.0,53202.0,66640.0
13313,52402.0,46399.0,45028.0
15001,65097.0,55750.0,57571.0
15003,86582.0,80513.0,84423.0
15007,72492.0,71344.0,80921.0
15009,78500.0,72257.0,82885.0
16001,69768.0,61301.0,66405.0
16005,54877.0,48429.0,50748.0
16019,65598.0,59706.0,58729.0
16027,49836.0,48437.0,53374.0
16055,58105.0,51765.0,55236.0
16083,53651.0,51210.0,51196.0
17001,58933.0,51624.0,56699.0
17019,62088.0,50335.0,52725.0
17031,75594.0,60046.0,63353.0
17037,58641.0,59285.0,63085.0
17043,101499.0,84908.0,93750.0
17089,84032.0,73347.0,79818.0
17091,62856.0,54911.0,51404.0
17093,91966.0,90482.0,89862.0
17097,106303.0,83152.0,87133.0
17099,60779.0,57476.0,51838.0
17111,88375.0,81063.0,85275.0
17113,76125.0,62156.0,66256.0
17115,58049.0,46198.0,50066.0
17119,65166.0,56035.0,59987.0
17143,64500.0,51975.0,56138.0
17161,61972.0,50948.0,52148.0
17163,61301.0,50267.0,59141.0
17167,69140.0,53782.0,61997.0
17179,71566.0,60152.0,60857.0
17183,52242.0,45481.0,43655.0
17197,87824.0,81438.0,85818.0
17199,57320.0,48409.0,43568.0
17201,61311.0,49749.0,53345.0
18003,62638.0,51173.0,54260.0
18005,66358.0,59102.0,62047.0
18019,59047.0,51401.0,56307.0
18035,47844.0,41041.0,41662.0
18039,57735.0,54216.0,58350.0
18043,70576.0,58586.0,66391.0
18053,50461.0,37117.0,44839.0
18057,104580.0,89823.0,100209.0
18059,75186.0,67799.0,71653.0
18063,80063.0,78307.0,80582.0
18067,53316.0,45702.0,55868.0
