FIPS,County Name,State,Size,Pop 2012,Pop 2013,Pop 2014,Pop 2015,GDP 2012,GDP 2013,GDP 2014,GDP 2015,GDP/capita 2012,GDP/capita 2013,GDP/capita 2014,GDP/capita 2015,% Change (2012-2015),% Change (2014-2015),Add Zero FIPS
39007,Ashtabula,OH,Small,100227,99716,99021,98396,2540206,2557959,2688126,2656316,25344.52792,25652.44294,27147.02942,26996.178710000004,6.5%,-0.6%,039007
22057,Lafourche,LA,Small,97177,97254,97901,98363,4517341,4590492,4716335,4319142,46485.70135,47201.06114,48174.533460000006,43910.23047,-5.5%,-8.9%,022057
26091,Lenawee,MI,Small,98978,98766,98692,98334,2405808,2415943,2428591,2593387,24306.49235,24461.282219999997,24607.779759999998,26373.24832,8.5%,7.2%,026091
05051,Garland,AR,Small,96969,97627,97720,97734,2934315,2840130,2906720,3025683,30260.340930000002,29091.64473,29745.395010000004,30958.34612,2.3%,4.1%,05051
47113,Madison,TN,Small,98493,98689,98064,97523,4900926,4930467,5050225,5116894,49759.13009,49959.640889999995,51499.27598,52468.5869,5.4%,1.9%,047113
36101,Steuben,NY,Small,98948,98881,98208,97495,3576382,4126756,4569173,4814551,36144.05546,41734.56984,46525.466360000006,49382.542689999995,36.6%,6.1%,036101
56021,Laramie,WY,Small,94704,95731,96123,97005,5272020,5426477,5376849,5657553,55668.39838,56684.637160000006,55937.17425,58322.282360000005,4.8%,4.3%,056021
37045,Cleveland,NC,Small,97314,96874,97012,96868,2706702,3028623,3212398,3216096,27814.106910000002,31263.52788,33113.40865,33200.80935,19.4%,0.3%,037045
19061,Dubuque,IA,Small,95128,95888,96408,96813,5087690,5009415,5250485,5564291,53482.57085,52242.35566,54461.09244,57474.626339999995,7.5%,5.5%,019061
54011,Cabell,WV,Small,96819,96895,96514,96462,4477526,4546301,4710195,4844563,46246.3566,46919.87203,48803.23062,50222.50213,8.6%,2.9%,054011
29165,Platte,MO,Small,92110,93367,94883,96405,4486953,4760641,5356225,6133974,48712.98448,50988.475589999995,56450.83945,63627.13552,30.6%,12.7%,029165
19169,Story,IA,Small,91730,93462,95310,96348,4268295,4762600,5169820,5284706,46531.06944,50957.608439999996,54242.157170000006,54850.1889,17.9%,1.1%,019169
13115,Floyd,GA,Small,96000,95921,95959,96243,3244987,3248422,3352739,3418967,33801.94792,33865.59773,34939.28657,35524.31865,5.1%,1.7%,013115
51740,Portsmouth (Independent City),VA,Small,96465,96069,95802,96241,4988844,5168781,5321817,5624266,51716.622610000006,53802.79799,55550.16597,58439.396929999995,13.0%,5.2%,051740
30029,Flathead,MT,Small,91576,92835,94468,95738,3272697,3464558,3588963,3795391,35737.496719999996,37319.52389,37991.30923,39643.51668,10.9%,4.3%,030029
06101,Sutter,CA,Small,94342,94702,94983,95524,2792070,2931894,3156588,3253875,29595.1962,30959.156089999997,33233.1891,34063.42909,15.1%,2.5%,06101
47155,Sevier,TN,Small,92231,93298,94570,95502,3532110,3501743,3664128,3858571,38296.342880000004,37532.88388,38745.141169999995,40403.03868,5.5%,4.3%,047155
01095,Marshall,AL,Small,94217,94291,94232,94577,2576840,2835735,2754430,2868111,27350.0536,30074.291289999997,29230.303930000002,30325.67115,10.9%,3.7%,01095
34009,Cape May,NJ,Small,96387,95704,95146,94421,4716122,4662613,4840254,4754987,48929.0257,48719.10265,50871.860089999995,50359.42216,2.9%,-1.0%,034009
37125,Moore,NC,Small,90216,91411,92847,94040,2674039,2818401,3069002,3247757,29640.40747,30832.1865,33054.40133,34535.91025,16.5%,4.5%,037125
37127,Nash,NC,Small,95206,94445,94253,93929,3670216,3831150,3925650,4018648,38550.259439999994,40564.879030000004,41650.13315,42783.88996,11.0%,2.7%,037127
39055,Geauga,OH,Small,93776,93840,93976,93895,3410779,3443085,3646646,3741618,36371.55562,36691.01662,38804.01379,39848.95894,9.6%,2.7%,039055
19155,Pottawattamie,IA,Small,92906,92810,93199,93532,3856740,4091705,4367061,4654797,41512.28123,44086.89796,46857.38044,49766.89261,19.9%,6.2%,019155
48037,Bowie,TX,Small,93114,93456,93428,93400,3323687,3388034,3570490,3819520,35694.81496,36252.717860000004,38216.48756,40894.21842,14.6%,7.0%,048037
53025,Grant,WA,Small,91442,91821,92839,93380,4365540,4407954,4415018,4699863,47741.08178,48005.94635,47555.63933,50330.50975,5.4%,5.8%,053025
